*WEATHER DATA: GGCMI

@ INSI      LAT     LONG  ELEV   TAV   AMP REFHT WNDHT
 GGCMI    -9.25    34.75   -99  22.2  13.8
@DATE  SRAD  TMIN  TMAX  RAIN
15163  14.9  13.3  22.0   0.0
15164  17.1  10.4  21.5   0.0
15165  19.3   9.4  20.6   0.0
15166  16.1   8.8  21.4   0.0
15167  18.7   7.4  22.1   0.0
15168  17.0   8.8  21.5   0.0
15169  14.7   7.8  22.1   0.0
15170  17.1  10.6  23.0   0.1
15171  17.6  10.2  22.5   0.0
15172  14.7  11.4  22.5   0.0
15173  15.1  10.9  22.4   0.0
15174  13.6  11.2  21.9   0.0
15175  14.7  11.4  21.5   0.0
15176  12.7  11.4  20.1   0.0
15177  16.0   9.9  21.0   0.0
15178  14.7  10.5  21.9   0.0
15179  14.8  13.8  23.0   0.4
15180  17.5  12.1  23.4   0.0
15181  14.6  11.2  22.0   0.0
15182  13.9  11.3  21.7   1.6
15183  13.6  11.4  20.8   0.9
15184  14.0  11.8  20.1   0.0
15185  13.9  10.5  20.8   0.0
15186  17.8   9.0  21.6   0.0
15187  12.9  10.1  20.7   0.0
15188   8.4  13.4  19.9   0.1
15189  13.7  12.7  21.1   0.0
15190  15.1  11.5  22.3   0.0
15191  17.2  10.4  23.4   0.0
15192  18.9  10.0  25.1   0.0
15193  20.9   9.6  24.1   0.0
15194  21.5   9.2  23.3   0.0
15195  19.2   8.3  21.7   0.0
15196  12.9   9.6  20.1   0.0
15197   9.4  11.9  18.7   0.0
15198  13.4  11.9  19.4   0.0
15199  17.6  10.1  21.5   0.0
15200  19.0   7.0  22.7   0.0
15201  20.0   8.8  24.0   0.0
15202  19.3   9.8  23.5   0.0
15203  18.3   8.4  23.1   0.0
15204  16.2   9.8  21.3   0.0
15205  19.9   8.6  21.4   0.0
15206  15.3   8.3  20.8   0.0
15207  17.2   7.9  21.0   0.0
15208  21.0   6.3  22.8   0.0
15209  22.6   7.7  22.3   0.0
15210  15.0   7.6  19.1   0.0
